cell ID:  0 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.53
cell ID:  1 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.34
cell ID:  2 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.68
cell ID:  3 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.83
cell ID:  4 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.73
cell ID:  5 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  6 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.61
cell ID:  7 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  8 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.95
cell ID:  9 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  10 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.79
cell ID:  11 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.47
cell ID:  12 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.87
cell ID:  13 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  14 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.91
cell ID:  15 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  16 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.8
cell ID:  17 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.89
cell ID:  18 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  19 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.42
cell ID:  20 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.72
cell ID:  21 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.73
cell ID:  22 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.8
cell ID:  23 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  24 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.91
cell ID:  25 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.92
cell ID:  26 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.91
cell ID:  27 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.88
cell ID:  28 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.41
cell ID:  29 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.52
cell ID:  30 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  31 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.97
cell ID:  32 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.7
cell ID:  33 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.71
cell ID:  34 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  35 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  36 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.88
cell ID:  37 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.86
cell ID:  38 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.59
cell ID:  39 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.8
cell ID:  40 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.58
cell ID:  41 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  42 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  43 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.95
