,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
cell_0,-1.8792934,-1.8115191,-1.8792934,1.5971278,0.88445854,-1.8792934,-0.37471294,0.6590758,-1.2938454,1.866473,-0.09808189,0.40988362,3.5623646,-1.8792934,-0.7899188,-0.19062415,1.5489217,-1.2138078,-1.8792934,-0.064383954,-1.2421062,0.22968331,-1.4386255,1.290271,-1.7868155,-0.061234772,2.0048187,-0.76088536,-1.8792934,-1.8792934,1.2471068,-1.8059568,2.3768783,-1.8792934,2.672719,2.335928,2.6046941,-1.8792934,-0.7341851,-1.6541888,2.1017938,-0.72493154,-1.8792934,1.9441195,0.53235537,-1.1172955,-0.11393785,-0.6218964,0.3122146,-1.2497613,-1.8359116,-0.26239163,-1.512404,-0.9467838,1.008146,-1.0202646,-1.6659055,-1.1167676,-1.8792934,-1.200441,-1.5904161,-0.17428915,0.41716117,-0.64358,-0.5537454,-0.8312596,1.2274226,-1.8792934,-1.8792934,-1.8792934,-0.28735366,-0.4266525,0.8079964,0.23006025,2.2689857,-1.8792934,-0.47917122,0.71911824,-1.6840205,-1.0495546,0.24142492,0.8363613,-1.1502987,-1.8792934,-1.8792934,2.4001718,-1.4067087,-0.045554236,3.0201397,-1.8514924,-1.8792934,0.42175645,1.1338345,1.24869,-0.50087756,1.0811788,-0.7629917,-0.40158933,1.9420046,-1.005356
cell_1,2.1286619,1.5347716,-0.78303117,0.7809182,0.25778663,-1.6901222,-1.8792934,2.8083117,-0.6576235,-0.94089955,0.8706522,-1.8527236,-0.14516032,0.7473458,-0.54977334,-1.4416883,-1.2271453,-1.2417926,-0.54688483,0.7924759,-1.6165096,-1.8792934,0.9139897,1.7669003,-0.85931677,1.644942,-0.5318359,-1.5797321,-1.8792934,1.7585825,1.5545365,-1.8792934,-1.5020922,0.9886774,0.55404305,0.58571935,-1.4285065,-0.50211954,-0.8649558,0.4727859,-1.8792934,1.305242,0.3738551,0.23111703,-0.54003626,0.9335991,0.9629439,0.30376703,0.51721835,-1.3120401,1.1156739,-1.6966757,-0.9309301,-0.62072736,-1.8792934,-0.32077956,-0.99621093,1.733155,-1.7257953,-0.8053154,1.553418,-1.8792934,1.0990732,0.24954122,1.2352015,-0.91114014,-1.8792934,-1.8057504,1.129612,-0.48203567,2.079745,0.61974454,-1.154798,0.9337551,-1.2585055,0.3876945,1.920787,-1.1652875,2.2712944,-0.87382996,-1.8792934,1.6529634,0.8032812,1.6478522,0.28073275,-0.7764544,0.43461287,-0.9851746,-1.312819,-1.5235598,2.516337,-1.8792934,-1.0687579,-0.86804533,-0.64721173,0.5591359,1.931714,0.25059345,0.353442,1.753297
cell_2,-0.28264737,-0.14584608,0.46411115,0.8154151,-0.5169014,-1.4042099,-0.03888961,-0.06378795,-0.8624281,1.9331328,-1.3090941,-0.5327156,1.2193747,-0.60863996,-0.42262778,1.4134914,3.0697286,-0.13506553,0.3713119,0.15862787,1.684351,-0.26311713,0.53413075,-0.43838587,0.18294442,-0.52792615,-1.0733094,0.58142954,0.6246357,-0.20009571,0.72128737,-1.6089795,1.5283095,-0.2872765,2.057972,-1.6236609,-0.24303338,1.1921217,-0.5413815,1.9371392,0.98100686,-0.27119327,-0.54554576,1.5826868,0.6860724,-0.32451612,1.1396228,-1.0930963,0.13237917,-1.0926921,-0.13857006,0.009826437,0.14124674,-1.8792934,0.13597856,-0.89538807,-0.16477926,-0.30439404,-0.2810502,1.3823695,-0.4622736,-1.181918,-0.90294576,-1.1117156,-1.2332082,-1.8081743,1.03706,0.59623545,0.77953315,0.41566697,0.16563407,0.26026943,1.6766677,0.36209244,-0.14783967,-0.51637316,-0.5638814,-1.8792934,-0.68751407,0.47693416,-0.8086455,-1.4750224,0.6180843,1.5962017,-0.41052312,1.89098,1.3487936,-0.85057807,0.28846714,-0.17993468,0.2959343,0.8638296,2.0530035,1.5523833,-0.16894361,-1.0144578,-0.080764115,-1.8792934,-0.4426419,0.87956405
cell_3,0.4392131,-0.8534647,0.2924968,-0.039516717,0.77914,-1.7534957,-0.82925963,-0.13109517,-1.1718087,2.1444507,-1.8792934,-0.7795465,1.7282605,-0.12124431,-0.29213777,1.063436,1.39549,0.12647632,0.07196739,-0.75404024,1.7712864,0.7185127,1.4444543,-0.15931088,0.7693425,-0.9655484,-1.2473962,0.33688557,-0.3663365,-0.34220546,0.88685906,-0.28606972,0.68792266,-0.0946704,1.9420458,-1.4954535,-0.90976095,0.24814948,0.040664464,1.06602,0.95157915,-0.050530113,-0.41814193,0.5938975,-0.99916136,-0.32194215,0.96286064,-0.48508012,1.0544263,-0.44947731,-0.22186477,-0.9704426,0.3351272,-1.8792934,-0.4170974,0.72032887,-0.49587035,1.7433763,-1.0697083,1.7201654,-1.1788969,-0.97324115,-0.31458887,-1.8792934,-1.804528,-1.1683799,1.5888869,-0.06951381,-0.050818175,0.7778071,0.9455229,-0.97859764,1.3281764,-0.5398644,0.43681613,0.9181265,-0.95729303,-1.8533769,-1.6969572,0.783671,-0.72002435,-1.8792934,0.105223715,0.47609428,-1.7472074,1.2602415,1.6087033,-0.5442814,-0.036025926,0.1768663,0.5559051,1.4477835,1.9522014,-0.5244008,-0.22257127,-1.1381688,0.1374651,-1.8792934,0.14997807,1.8105015
cell_4,0.6415489,-0.18345195,1.1097097,-0.3954836,0.1662896,-0.30393982,-1.8753991,1.9986284,-0.86386925,-0.20676237,0.79907084,1.6737185,-1.8792934,2.2547977,2.1870468,-1.8792934,-0.123743236,0.22684187,0.5475724,-1.8792934,0.32143497,-0.42876893,2.0641685,-1.1855496,0.57205343,-1.8759098,-1.2282182,1.4308027,0.9440892,3.0849226,2.7149575,-0.7363394,0.5769728,0.7175794,2.18624,-1.4763669,-1.8792934,0.9647573,2.378374,3.1241267,-1.7791535,0.40140888,2.1434355,1.5165752,1.5956244,0.5907445,-0.7007392,1.6293362,2.360176,0.22010061,-1.8792934,-1.335527,-1.3676133,-1.4932708,0.30316418,0.8618954,-1.8792934,0.5415208,2.068966,1.7046124,1.5146408,0.51201195,-1.5285835,-1.8792934,-1.5053871,0.17146492,-0.09376842,-1.8792934,1.2636353,-0.5394395,0.9972218,-1.8792934,1.0503352,1.9965026,0.5302688,2.2073739,-0.05075584,-1.4909623,-0.580899,1.6234779,-1.065639,-0.8772492,1.3598796,0.9724066,1.4006021,0.9546434,1.1066641,0.21641135,-1.3787072,0.46551815,1.4160208,-0.3646091,1.2553319,2.8438995,-0.22479422,-0.32371977,1.5103481,-1.8792934,-1.8792934,2.1007082
cell_5,0.021864012,-1.8792934,2.7928262,0.09526905,-1.421978,-1.2695453,-0.7366804,1.4034548,0.057713807,1.0889289,1.4306082,-1.8792934,0.038036168,1.5989842,0.8233354,-0.39636165,0.6871331,2.2085636,0.98550993,-0.777256,0.23675843,2.0198095,0.7589215,0.8367063,1.7452632,1.1650409,1.7633137,-0.46869946,-0.26989284,-1.6064411,-0.057139724,0.6157215,0.73449475,-1.4770027,-0.51085216,0.5616513,-1.6644704,0.24868295,1.0702641,0.95621926,0.3938202,-1.8792934,1.595193,1.0968403,-1.3000699,-1.8792934,-0.7327498,-0.35943007,0.80268335,0.51801324,-1.0061606,-1.2712533,1.4472392,-1.2162173,1.2686515,-0.14974695,-0.9348117,2.7247097,-1.4146209,0.82027733,-0.3841886,-1.8792934,-0.01829642,0.8070483,0.22928001,-0.09062001,0.8282701,0.5403661,-0.5719408,-0.21364412,0.7452586,1.4567114,-1.0804029,-0.8657944,2.301726,1.1963986,-0.7893981,0.35288438,-0.14259793,-1.0408527,-1.6175684,-0.43319693,1.8697737,-0.44142777,-1.8792934,2.2288256,1.7511003,-1.8792934,0.5549684,0.8407941,-0.52399117,1.7167128,2.3957655,-0.6327174,-1.8208318,0.09978844,1.1783243,-0.14323321,-0.4332414,-0.24517852
cell_6,-0.51564574,-1.8792934,1.4932886,1.0108026,-1.8792934,-0.93702525,-0.44003585,0.71158195,0.22080454,1.976281,0.9234303,-1.8792934,0.74007595,1.3319453,0.9403881,-0.3195081,1.7901214,1.6738627,0.42846018,-1.5011241,-0.33272493,2.6498272,0.59387535,1.1957396,0.99171543,1.5413889,1.4864776,-1.5173182,-0.05281748,-1.7045913,-0.047321916,-0.63488936,2.291105,-1.8792934,-0.5892849,0.95223284,-0.3527943,0.40021777,0.76034975,1.1195455,1.0485312,-0.7727743,1.6629391,1.7538064,-1.2493169,-1.8792934,-0.24375904,-0.86912674,0.044426493,0.51116127,-1.5374942,-1.1265739,1.2871433,-1.8792934,1.2487987,-0.3708858,-1.6440809,1.8425854,-1.6039197,0.29914927,-0.068081215,-1.8792934,-1.2280315,1.3371985,0.3024764,-0.57895994,1.4524598,0.8467736,-0.9076842,-0.06476751,0.30067366,1.4404603,-0.4826377,-1.2504177,1.309964,0.12578206,-1.385797,0.43440032,0.0098321345,-1.749903,-0.9536496,0.11629256,0.9204429,-0.61481327,-1.8792934,2.6979387,1.9332749,-1.8792934,1.4543965,0.03586623,-1.734286,1.8878142,1.8633384,-0.3635011,-1.5325117,0.3713544,0.35448068,-0.39905462,-1.094693,-1.1373703
cell_7,0.7151907,0.36992776,1.0356486,-1.6247989,2.1324933,-0.17587906,-1.0353522,2.4240215,1.4586507,0.3895847,-0.07469681,-0.32118443,-1.3287027,2.403421,0.18174434,-0.99041235,-0.9401803,-0.78415,0.68834215,-1.7953393,-0.18551877,0.2706888,2.2044506,0.8407426,-0.078608304,-1.3652557,-0.80100024,0.3142848,0.777671,1.976857,3.0208018,0.9306487,-1.3876402,0.32763144,-0.8201898,-0.31641862,-1.5047789,0.77691245,2.8171642,1.1765981,-0.83111465,1.0458329,1.445112,0.35355803,-0.352713,0.22837049,-0.8762655,0.26444376,2.2067933,0.34126514,-0.43054458,-1.6898363,1.4029204,0.33813554,0.06637354,0.92677975,-1.8792934,-1.1375996,1.0772634,0.52037245,0.3497588,-0.51964486,0.36995104,-1.381209,-1.0890486,-0.7433384,-0.44992673,-1.8792934,0.8705228,-1.0323269,-0.6310445,-0.41975474,0.26926494,-0.6806842,-0.31044596,2.1698387,-0.49870378,-0.26946488,-1.114164,0.43749675,-1.3046007,1.1039039,-0.72035307,-1.334495,0.62678754,1.2262836,0.2557024,-0.83371043,-0.56462264,0.22068109,1.2006221,0.16037077,0.4132106,1.1982515,-0.3968161,0.80762565,1.2404513,-0.32320613,-1.8792934,2.3537693
cell_8,-0.38382962,-1.8438085,1.1554737,0.4262582,-0.3850757,-1.7869251,-0.5696254,1.9479175,0.24820504,1.0665907,1.7047532,-1.8792934,0.63286406,0.9278416,1.7319031,-0.8471553,1.2639546,0.9961052,1.1448637,-0.4402646,-0.40671015,1.0183631,0.630988,0.9128239,1.6795568,0.9221734,0.007920295,-1.8792934,0.55920345,-0.7752516,0.4208194,-0.35228252,0.7175834,-1.1630286,-0.015434593,0.1783351,-1.8792934,0.02327618,0.64646673,1.1664292,-0.49027866,-1.1517626,0.4426973,0.8678016,-1.8579357,-1.8792934,0.34842753,0.12753475,1.3662357,0.9115089,-1.1511219,-1.7583853,0.9855115,-1.2474855,-0.099683315,-0.04911755,-1.5238432,2.0233204,-1.4312041,1.7265309,0.7489045,-1.7625422,-0.9955119,0.29419452,0.51498294,0.28365618,0.23044339,-0.36782855,-0.8099065,-0.87600476,0.8491229,1.2785962,0.10875499,-1.8792934,1.1619534,1.1287957,-1.3267684,-0.13456538,0.022746176,-1.8792934,-1.3159933,-1.022804,1.4967816,-0.75361806,-1.6478217,1.5862705,2.10112,-1.8792934,0.36828786,1.0325171,-0.872439,0.48073012,1.5066305,0.3559385,-0.68826115,0.16403532,0.7958133,-1.0084909,-0.6175425,1.0904742
cell_9,-1.8792934,-1.8792934,-1.5324734,0.46568897,1.0538952,-1.2092625,0.36204916,2.2080195,-0.021896422,-1.2476878,1.3980328,1.5410777,1.7171919,-1.0330669,-0.7642908,0.2797827,-1.2316982,-0.66675234,-1.8792934,-0.25672257,-1.5013676,-0.76603484,-1.0428711,1.9179883,-1.665063,0.3603354,1.5148838,0.40657613,-1.8792934,-0.14558798,2.0287666,-0.37000784,0.087947994,-1.6151301,0.0022059083,1.7449225,-0.5786701,-1.8792934,0.004318113,-1.259048,1.4187088,-1.8792934,-1.7699779,2.1248693,1.433757,-0.31601167,-0.9116565,0.061502337,2.156163,-1.3022928,-0.96093583,-0.6699986,-0.17284736,-0.92665625,0.003948599,-0.2443448,-1.8792934,-0.03226594,-0.6512596,-0.5482565,-0.8202871,0.45038807,0.64181954,-0.9415719,-1.4106593,1.2067126,-0.21732551,-1.7861798,-1.0394018,-1.8792934,0.84000206,-1.8792934,0.09727514,-0.5941081,2.2350578,0.518541,0.43443805,1.1368809,-1.8612874,-0.97546643,0.20409867,0.32480502,-0.4464477,-1.103711,-1.747737,2.1533613,-1.4299414,1.1286646,2.0965595,-0.34865353,-0.6619742,-0.164002,1.4800564,1.335925,-0.21622843,1.0402322,-1.0893668,0.47834206,1.6146525,-0.96502244
