,importance score
LINC01409,0.0015945729805139511
LINC01128,0.001853382945614085
NOC2L,4.57685799707456e-06
HES4,0.039265760962346005
ISG15,0.011366640858470898
C1orf159,0.0061367095607517035
TNFRSF18,0.03179137280128341
TNFRSF4,0.021493310064553798
SDF4,0.00017709669265856005
UBE2J2,0.0001870406364458567
ACAP3,0.009003561783389829
INTS11,0.0011839122372664197
DVL1,0.0005273574723827758
AURKAIP1,0.0004528629961777177
CCNL2,0.00022102985281822465
MRPL20,0.0011308402088122623
ATAD3B,0.009719715180491004
ATAD3A,0.01186367847696762
SSU72,0.000962125494020084
AL645728.1,0.0002967520791303846
MIB2,0.0026070706397238637
MMP23B,0.0007586143516491359
CDK11B,0.0011282259672674754
SLC35E2B,0.008301202697656595
CDK11A,0.0017276991654823516
SLC35E2A,0.002233092573021604
NADK,0.0001226602395452856
GNB1,0.07835952028884202
PRKCZ,0.004138881582676018
FAAP20,0.002600486553734537
SKI,0.004333210333791649
MORN1,0.003928589141185322
RER1,0.0009262556409325687
PEX10,0.001949449982844775
PLCH2,0.0014226864846097183
PANK4,0.00044677710722464624
AL139246.5,0.0071847259634984515
TNFRSF14,0.0044468566635052255
MEGF6,0.007654223708484413
TPRG1L,0.0036663508817200868
WRAP73,0.005286059427506243
LRRC47,0.0007902026521301657
CEP104,0.002109104700454939
DFFB,0.009984005463006209
C1orf174,0.006323543553603889
NPHP4,0.004179784487227757
KCNAB2,0.0051372099526396766
RPL22,0.004305817015892387
ACOT7,0.005928634913398191
TNFRSF25,0.001693302472931276
NOL9,0.0029901310100481603
ZBTB48,0.002624674781489518
KLHL21,0.0015075499611119935
PHF13,0.008319256350365662
THAP3,0.00047254485153648497
DNAJC11,0.001592110779764029
CAMTA1,0.0059234129686161355
VAMP3,0.007916913177162473
PER3,0.012458239897278605
PARK7,0.007982492356087879
ERRFI1,0.0030834797666983785
RERE,0.004574249021412523
ENO1,0.013180836339042195
H6PD,0.0022600381099732256
SPSB1,0.0005768358633092273
SLC25A33,0.014053128092689611
PIK3CD,0.009485781294684303
CLSTN1,0.0009687414306875495
CTNNBIP1,0.0003804004162134097
LZIC,0.0002881097344665774
UBE4B,0.0011404055801854608
KIF1B,0.010199669251890649
PGD,0.0013616645752213244
DFFA,0.0011200200495934717
PEX14,0.002837758270262004
CASZ1,0.004297795107684478
TARDBP,0.0022617959443879056
SRM,0.00013887519102518886
EXOSC10,0.0042039362900579145
MTOR,0.004893490960363891
UBIAD1,0.00022947471472061135
FBXO44,0.007630359822145702
MAD2L2,0.005242070113822764
AGTRAP,0.012104020260175753
MTHFR,0.007646905387773954
CLCN6,0.00020738703137153104
AL021155.5,0.0011442620213674404
KIAA2013,0.00839989740593984
PLOD1,0.0006823903226239519
MFN2,0.00816893482008908
MIIP,0.0005667426483326426
TNFRSF1B,0.0016644218236956077
VPS13D,0.004804124852960203
DHRS3,0.0011317802701167044
PRDM2,0.006221022869621955
KAZN,0.0020482272534382197
EFHD2,7.764403630662687e-05
CASP9,0.003993705641830648
DNAJC16,0.00042610435790777775
DDI2,0.0053965990538598135
PLEKHM2,0.024913232286294155
AL450998.2,0.009023388124196981
SPEN,0.00816398109488746
ZBTB17,0.0017118929093807305
FBXO42,0.006246468253221029
SZRD1,0.005742393676861017
NECAP2,0.0024737183289318654
CROCC,0.003232516148310176
ATP13A2,0.0009743738197762051
SDHB,0.0007533078335791311
PADI4,0.00038869096465534055
RCC2,0.007046032164282347
ARHGEF10L,0.0015792168614431619
IFFO2,0.0039383700102357975
UBR4,0.006699459055219643
EMC1-AS1,0.00023453020814977147
EMC1,0.0016382394824253684
AKR7A2,0.0007744671053626145
CAPZB,0.050884000674354855
MICOS10,0.0018538165512276316
AL031727.2,0.0015567958753928608
NBL1,0.00074769979060963
TMCO4,0.007310235360345133
OTUD3,0.0021128866428608765
CDA,0.0003666773067184486
PINK1-AS,0.002360496961818799
DDOST,0.0003284567201839717
HP1BP3,0.004008020619815967
EIF4G3,0.003989255087142065
ECE1,0.0025752034937003587
USP48,0.005388577773656767
LINC00339,1.1892999410558857e-05
CDC42,0.005968031807265229
CDC42-AS1,0.0019591921502689867
CDC42-IT1,0.0016485697473185882
ZBTB40,0.001364636282214123
KDM1A,0.002256407187549375
AL031428.1,0.0011651007085413932
LUZP1,0.003787038847104607
HNRNPR,0.020267954068350004
ID3,0.0047823680439559755
MDS2,0.006880084856087444
RPL11,0.002448625857511591
ELOA-AS1,0.007421493443524848
ELOA,0.012046043955778367
PITHD1,0.005602522712227541
LYPLA2,0.005529677748691023
HMGCL,0.0030924278415961535
CNR2,0.0031741075412924763
PNRC2,0.002281361282452075
SRSF10,0.006282468339447103
IFNLR1,0.0017169274249053896
NIPAL3,0.0006416485479448931
RCAN3AS,4.786185407825746e-05
RCAN3,0.0043014068088233276
SRRM1,0.00853731481355046
CLIC4,0.0009227667580862913
RUNX3,0.013676301436525453
SYF2,0.004718483477350004
RSRP1,0.006863826276688484
TMEM50A,0.0035793148928558822
MACO1,0.0012692726812257712
LDLRAP1,0.0022186488470576447
MAN1C1,0.00843970198244468
SELENON,0.001723712953783146
MTFR1L,0.0013736692425160538
STMN1,0.009044883665465544
PAFAH2,0.00013088868942083507
ZNF593,0.002931800969825979
CEP85,0.002423746929722981
SH3BGRL3,0.009066110235018262
UBXN11,0.0001961783157368752
CD52,0.03676814804972619
DHDDS,0.0008810516281984922
HMGN2,0.01331922618085513
RPS6KA1,0.003675516686641715
ARID1A,0.0024220932106540803
ZDHHC18,0.006648665365374191
GPN2,0.0022457791708293106
GPATCH3,0.0002680917240913155
NUDC,0.006794781316367854
SLC9A1,0.011482404111726553
WDTC1,0.0005937053866009783
TMEM222,0.0004572909336670694
SYTL1,0.0023088777368370657
WASF2,0.00045560186619030506
AHDC1,0.0005469523886604668
FGR,0.02529285650314076
IFI6,0.00014286852360241573
FAM76A,0.003388196975093837
STX12,0.007261602884153098
THEMIS2,0.001730625295037627
RPA2,0.004864747727430304
EYA3,0.0011356094971876245
PTAFR,0.002218128735362032
DNAJC8,0.003476543489929546
ATP5IF1,0.006059041098421399
SESN2,4.2746228916837194e-05
PHACTR4,0.008392216923162625
RCC1,0.005856905789749268
SNHG3,0.00046100606018983697
TRNAU1AP,0.0009254528923068311
SNHG12,0.0016489543730998982
TAF12,0.0030522430143148393
AL360012.1,0.00393260798899664
GMEB1,0.0004459884288850201
YTHDF2,0.0033660797027676853
EPB41,0.00034358472903703183
SRSF4,0.0038322948282728947
MATN1-AS1,0.00011306668281984178
LAPTM5,0.028877905645481358
PUM1,0.001458960013159457
SNRNP40,0.0007054276678189549
ZCCHC17,0.0054271467034086186
PEF1,0.003376697845255385
AL136115.2,0.0008626873928277953
PTP4A2,0.014661207541111406
KHDRBS1,0.01805127805425597
TMEM39B,0.0031276449794565195
