,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA.DR,IgD,IgG1.K.Isotype.Control,IgM,KLRG1,TCR.Va24.Ja18,TCR.Va7.2,TCR.a.b,TCR.g.d
cell_0,-0.11141786,0.28776586,2.4723372,0.7054294,-1.4933048,1.4418122,0.73378205,-0.027837673,1.6744589,-1.0618345,-0.027837673,0.5795235,-0.027837673,-0.7925211,0.33728972,-0.7925211,-1.0618345,-0.027837673,-1.4933048,-0.7925211,0.5795235,-1.4933048,-1.4933048,2.002212,0.6451887,0.8127747,-0.31428632,1.0085871,0.73378205,-1.0618345,-0.5962473,0.28776586,-0.7925211,0.61309445,-0.31428632,0.8127747,-1.0618345,1.567368,-0.31428632,-0.7925211,-0.5962473,0.33728972,-0.7925211,-1.4933048,0.047145557,1.1472045
cell_1,-0.8894016,-1.3966326,0.25130436,1.5043432,-1.3966326,0.17733648,-0.23656486,-0.10791161,0.00065951794,0.00065951794,1.9762657,-0.39445478,0.00065951794,0.99662685,1.128008,-1.3966326,-0.23656486,0.25130436,-1.3966326,-0.59890026,0.17733648,-0.8894016,-0.59890026,1.581358,0.37918434,0.5355248,0.37918434,1.6963297,1.0654075,-0.10791161,-0.8894016,0.4352843,-1.3966326,-0.8894016,0.37918434,-0.10791161,-0.8894016,2.2058816,0.9721046,-1.3966326,-0.10791161,0.09457941,-1.3966326,-1.3966326,0.37918434,1.5493875
cell_2,-1.073266,-1.073266,0.18635117,-0.4898515,0.026875606,0.42298293,-0.4898515,0.31506333,0.026875606,-1.073266,0.5159028,0.31506333,0.9010647,-0.4898515,0.42298293,-0.4898515,-0.1828459,1.8861985,-1.073266,-0.1828459,2.440959,-0.4898515,-1.073266,2.0962641,-0.4898515,2.6352093,-0.1828459,1.7767913,1.1771833,-0.4898515,-1.073266,-0.1828459,-1.073266,-0.4898515,0.026875606,0.026875606,-1.073266,0.42298293,-0.1828459,-1.073266,-1.073266,0.31506333,-1.073266,-1.073266,0.59748816,1.1771833
cell_3,-0.7128128,-1.2867649,0.45397013,-0.7128128,0.26250193,0.26250193,-0.7128128,0.26250193,-0.39167023,-0.7128128,0.14461634,0.0046545947,0.3643358,-0.16760169,0.60633236,-1.2867649,-0.7128128,2.5310965,-0.7128128,0.26250193,2.9214494,-0.7128128,-0.7128128,1.338228,-0.7128128,2.6834867,0.5340177,1.3884146,0.6722775,-0.7128128,-0.16760169,0.3643358,-0.39167023,-1.2867649,-0.16760169,-0.16760169,-0.7128128,-0.16760169,-0.7128128,-0.7128128,-0.7128128,0.14461634,-0.7128128,-1.2867649,1.0950994,1.1636676
cell_4,-0.64909697,-0.64909697,0.6120058,-0.41571167,-0.41571167,0.012439784,-0.64909697,-0.10298236,0.012439784,-1.0048897,0.19765446,-0.41571167,0.19765446,-0.41571167,0.40619794,-1.0048897,-0.41571167,1.9329749,-1.0048897,-0.10298236,2.965111,-1.0048897,-0.24173726,1.8644129,-1.0048897,2.418266,-0.41571167,2.5310292,0.5660315,-0.64909697,-1.0048897,0.012439784,-1.0048897,-0.41571167,0.5660315,0.3434513,-1.0048897,0.19765446,-0.10298236,-0.64909697,-0.64909697,0.274406,-0.64909697,-1.0048897,0.8375134,1.100637
cell_5,-1.2781831,-1.2781831,0.41917846,0.105392516,0.280007,0.105392516,-0.4875042,-0.4875042,-1.2781831,-1.2781831,0.53489536,0.280007,-0.4875042,0.105392516,0.72050434,-1.2781831,-0.4875042,1.0894543,-0.4875042,0.105392516,2.244969,-1.2781831,0.280007,0.72050434,-0.4875042,0.53489536,0.105392516,1.3612372,1.4789042,0.53489536,-1.2781831,0.105392516,-0.12912086,-1.2781831,1.3283861,0.280007,-1.2781831,0.72050434,0.280007,-1.2781831,-1.2781831,2.6498451,-1.2781831,0.105392516,0.92940044,0.98698545
cell_6,-1.1831945,-0.42906016,0.15789363,-0.2300831,0.15789363,0.7323255,-0.42906016,0.53230506,-0.7086879,-1.1831945,0.53230506,0.33240113,-0.7086879,-0.2300831,0.33240113,-0.7086879,-0.2300831,1.3870794,-0.42906016,-1.1831945,2.409373,-1.1831945,-0.2300831,0.63947093,-1.1831945,0.25059855,-0.07550103,1.2567712,0.58794713,1.552531,-1.1831945,-1.1831945,-1.1831945,-0.2300831,2.4474375,0.25059855,-1.1831945,-0.2300831,-0.7086879,-0.7086879,-0.7086879,2.634698,-0.42906016,0.53230506,0.33240113,1.0143816
cell_7,-0.39508623,-0.2526967,2.3620596,-0.68547547,-0.2526967,0.16806729,-0.47902882,1.971652,1.1757624,-0.98106104,0.23479849,-0.8176018,-0.13466859,-0.32023492,0.45148548,-0.5745805,-0.47902882,1.1249609,-0.68547547,-0.2526967,1.4914371,-1.1954894,-0.5745805,2.1445248,-0.8176018,0.29565585,-0.2526967,2.360588,0.40333927,0.83448327,-1.1954894,-0.68547547,-0.5745805,-0.98106104,1.9819119,-0.2526967,-0.98106104,-0.033871155,-0.39508623,-0.68547547,-1.1954894,0.05409154,-0.8176018,-1.1954894,0.40333927,0.68592715
cell_8,-0.30006298,-1.501313,-0.4261109,0.49495646,-0.5227221,0.2817215,-0.6326144,-0.12604937,-0.3399138,-0.8322494,-0.57578397,1.0455556,0.5638993,-0.91163653,1.271144,-0.76002973,0.40353,0.48042554,-1.2118901,1.4556578,2.3008742,-1.0988258,-0.57578397,-0.095365204,-0.9997721,0.042558145,-0.30006298,1.7880169,0.87698215,0.3002991,-0.76002973,-0.91163653,-0.009795415,-0.38185266,1.9317732,-0.22586076,0.57700306,0.3002991,-0.8322494,-0.9997721,-0.8322494,1.8950564,-0.30006298,-1.6979285,-0.12604937,2.2779174
cell_9,-0.81742275,-1.1890781,2.3636162,0.95617974,-0.40797704,0.28190458,1.3273056,-0.40797704,1.4375439,-0.81742275,0.38091806,-0.27088332,-0.58135605,-0.81742275,0.61124057,-1.1890781,-1.1890781,-0.06078495,-0.81742275,-0.58135605,0.8060571,-1.1890781,-1.1890781,1.7003003,-0.27088332,0.7018703,-0.27088332,0.8746258,0.5430483,-0.27088332,-1.1890781,1.9623228,-1.1890781,0.38091806,-0.06078495,-0.06078495,1.5238943,1.7305427,-0.58135605,-0.58135605,-0.81742275,0.09822089,-1.1890781,-1.1890781,0.28190458,1.2336687
cell_10,-1.2523496,-1.2523496,-0.39488116,0.27302474,-0.24930163,0.060872573,-0.83648556,0.060872573,-0.5804144,-0.83648556,2.2050107,-0.5804144,0.13918509,1.5674487,0.8244474,-0.12948048,-0.24930163,0.27302474,-0.83648556,-0.5804144,0.4344516,-0.83648556,-1.2523496,1.6985193,0.27302474,-0.027658267,-0.12948048,1.9298906,0.5647891,-0.12948048,-1.2523496,0.2093957,-1.2523496,-0.027658267,-0.24930163,0.99105936,-1.2523496,1.9710177,0.73828334,-1.2523496,1.1418697,0.2093957,-1.2523496,-1.2523496,0.27302474,2.1062648
cell_11,-1.1234301,-1.1234301,0.02186841,0.1625611,0.1625611,0.3869453,-0.14836161,0.4795169,-0.6580598,-1.1234301,0.70700747,-0.3639185,0.6380139,-0.14836161,-0.14836161,-0.14836161,-0.6580598,0.77060306,-0.6580598,0.02186841,1.1146146,-1.1234301,-0.14836161,4.1769347,-0.6580598,0.70700747,-0.6580598,1.1910545,1.0735202,0.1625611,-0.6580598,2.0001893,0.02186841,-0.6580598,0.02186841,0.02186841,-1.1234301,0.3869453,-0.6580598,-1.1234301,-1.1234301,0.3869453,-1.1234301,-1.1234301,0.6380139,1.2267386
cell_12,-0.22767806,-1.3675286,1.0636138,-1.3675286,-0.44559053,0.77671915,-0.06187484,0.571974,-0.76421136,-0.76421136,0.62906235,-0.44559053,0.36584562,-0.06187484,1.0021806,-1.3675286,-0.44559053,1.4054084,0.07199291,0.07199291,2.2488017,-0.44559053,-1.3675286,0.81972516,-1.3675286,2.3534772,0.07199291,1.440538,1.3089663,0.28094533,-1.3675286,-1.3675286,-0.44559053,-0.22767806,0.28094533,0.50979453,-0.06187484,0.07199291,-0.22767806,-1.3675286,-0.76421136,0.571974,-0.76421136,-1.3675286,1.1200724,1.4231944
